x,y,location,bluetooch1,bluetooch2,bluetooch3,bluetooch4
8,2,8x2y,-84.5997,-86.8856,-38.428,-17.3308
8,2,8x2y,-80.8364,-88.2953,-37.639,-77.7377
8,2,8x2y,-45.45,-85.2799,-60.8812,-14.4486
8,2,8x2y,-85.6685,-88.0556,-64.0158,-50.7206
8,2,8x2y,-84.3278,-90.6504,-66.1529,-85.6803
8,3,8x3y,-85.249,-88.7126,-69.6798,-81.3844
8,3,8x3y,-79.6462,-89.8648,-65.922,-83.5255
8,3,8x3y,-15.2082,-86.5015,-68.4454,-80.0153
8,3,8x3y,-48.9987,-90.6233,-66.757,-17.7979
8,3,8x3y,-86.7243,-16.9721,-69.917,-80.6761
8,4,8x4y,-18.5217,-83.0141,-72.0228,-82.9948
8,4,8x4y,-81.0295,-17.83,-73.86,-75.624
8,4,8x4y,-88.2948,-15.0909,-69.6418,-77.8554
8,4,8x4y,-86.7668,-78.0291,-74.1218,-44.8438
8,4,8x4y,-81.9623,-88.4768,-68.2551,-47.0081
8,5,8x5y,-80.2919,-80.5745,-42.208,-74.4644
8,5,8x5y,-19.2712,-88.6819,-75.5819,-78.6236
8,5,8x5y,-83.004,-81.9055,-72.5814,-78.3084
8,5,8x5y,-85.6709,-15.1293,-69.5237,-76.1611
8,5,8x5y,-85.3111,-79.8848,-71.9959,-72.7188
8,6,8x6y,-82.6527,-83.9865,-72.1532,-68.6618
8,6,8x6y,-80.0349,-79.8832,-77.0654,-74.5945
8,6,8x6y,-87.0775,-80.5369,-71.5407,-73.1576
8,6,8x6y,-84.7807,-82.6995,-76.7619,-68.6461
8,6,8x6y,-85.5611,-83.3441,-77.8382,-72.6789
8,7,8x7y,-85.6385,-89.7618,-83.2389,-66.5195
8,7,8x7y,-85.3989,-16.1839,-75.9893,-65.1884
8,7,8x7y,-88.0679,-86.0572,-48.5419,-67.5032
8,7,8x7y,-17.8019,-45.7643,-18.0797,-67.8671
8,7,8x7y,-48.4409,-82.2181,-15.2363,-13.578
8,8,8x8y,-90.8997,-18.8724,-85.108,-64.6894
8,8,8x8y,-54.54,-83.5188,-81.0922,-63.8634
8,8,8x8y,-86.1304,-16.7447,-78.676,-11.4933
8,8,8x8y,-88.4701,-82.6863,-49.9375,-66.8649
8,8,8x8y,-20.7845,-80.9942,-76.4558,-63.0108
8,9,8x9y,-89.8178,-78.8376,-78.7484,-60.0222
8,9,8x9y,-87.4404,-78.2036,-79.0663,-11.8362
8,9,8x9y,-87.8197,-74.9754,-82.0896,-59.1005
8,9,8x9y,-17.2022,-85.3903,-88.4636,-58.0874
8,9,8x9y,-86.5071,-78.9809,-84.9444,-11.7192
9,0,9x0y,-80.2957,-17.4435,-47.6369,-83.4818
9,0,9x0y,-80.5481,-87.5602,-30.4222,-79.9492
9,0,9x0y,-80.6969,-91.9409,-48.933,-82.1685
9,0,9x0y,-82.3842,-83.772,-46.3762,-16.7029
9,0,9x0y,-78.2872,-53.6652,-45.5068,-86.8779
9,1,9x1y,-83.8731,-83.5393,-51.6356,-87.1066
9,1,9x1y,-79.2322,-53.5358,-49.6842,-16.3694
9,1,9x1y,-80.9772,-51.6951,-33.7392,-84.1366
9,1,9x1y,-84.6206,-94.5782,-52.2161,-48.7308
9,1,9x1y,-85.5914,-88.5133,-52.0594,-88.2328
9,2,9x2y,-78.5263,-90.5459,-13.257,-77.2906
9,2,9x2y,-81.5207,-89.4668,-10.853,-78.4597
9,2,9x2y,-78.3252,-81.6258,-61.4827,-17.3964
9,2,9x2y,-15.4948,-82.0848,-61.6879,-80.6019
9,2,9x2y,-82.7378,-82.6765,-59.7717,-87.345
9,3,9x3y,-89.2138,-83.0767,-68.1773,-49.9073
9,3,9x3y,-47.6134,-84.5109,-13.7038,-74.6239
9,3,9x3y,-82.8372,-91.4375,-67.5907,-83.4101
9,3,9x3y,-85.6774,-79.6559,-69.0896,-45.9406
9,3,9x3y,-87.409,-89.8001,-63.3715,-72.6546
9,4,9x4y,-79.4245,-88.4754,-66.9407,-76.9027
9,4,9x4y,-51.062,-90.9657,-73.5265,-77.2991
9,4,9x4y,-85.783,-89.0133,-67.0474,-77.6493
9,4,9x4y,-85.7185,-90.3577,-12.1414,-14.7291
9,4,9x4y,-84.8599,-47.6038,-66.6991,-76.723
9,5,9x5y,-81.1376,-83.4601,-15.2751,-71.5909
